Lagarto FM,Carabobo,Local,Radio,Privado,Diaria,Niguno
Unión Radio Noticias Valencia,Carabobo,Estadal,Radio,Privado,Diaria,"El Carabobeño, CronicaUno,
Sandyaveledo.com, CaraotaDigital,
El Nacional"
WOW,Carabobo,Local,Radio,Privado,Diaria,medios regionales
F.M,,,,,,
Época 88.7 FM,Miranda,Local,Radio,"No se
suministró
información",Diaria,"Comunidad, entretenimiento"
Radio 90.3 F.M,Cojedes,Local,Radio,Privado,Diaria,Entretenimiento
Latina 98.7 FM,Miranda,Local,Radio,"No se
suministró
información",Diaria,Entretenimiento
Super Criolla,Carabobo,Municipal,Radio,Privado,Otra,No detallaron
Melao 104.1 FM,Miranda,Municipal,Radio,"No se
suministró
información",Diaria,"Música, entretenimiento, actualidad"
Bahía Estereo,Carabobo,Municipal,Radio,Privado,Diaria,"El Pitazo, Notitarde, El Carabobeño,
El Nacional"
TeleSUR,Distrito,Nacional,TV (Señal analógica,Estatal,Diaria,"Nacionales, internacionales, política,
economía, opinión, deportes, cultura"
Rumbera,Carabobo,Estadal,Radio,Privado,Otra,Ninguna
Onda Valencia,Carabobo,Estadal,Radio,Privado,Diaria,"El Carabobeño, El Nacional,
CronicaUno, Caraota Digital,
Notitarde"
El Evangelio Cambia,Carabobo,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Notitarde, Carabobeño, Diario La
Calle"
La Mega,Carabobo,Estadal,Radio,Privado,Diaria,medios digitales regionales
Lagarto FM,Carabobo,Local,Radio,Privado,Diaria,Niguno
Unión Radio Noticias Valencia,Carabobo,Estadal,Radio,Privado,Diaria,"El Carabobeño, CronicaUno,
Sandyaveledo.com, CaraotaDigital,
El Nacional"
WOW,Carabobo,Local,Radio,Privado,Diaria,medios regionales
Turismo 97.5 FM,Mérida,"No se suministró
información",Radio,Privado,Otra,Desconocido
,Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad
NVH Tv,,Sucre,Estadal,TV Cable,Privado,Diaria
,,,,,,
NotiAndes24,,Mérida,Global (web,Nativo Digital,No se,Otra
,,,,(Transmitido,suministró,
,,,,exclusivamente vía,información,
,,,,web,,
Cuyuní,,Bolívar,Municipal,Radio,Privado,Diaria
Tatuy Tv,,Mérida,Global (web,Versión Digital,Estatal,Otra
,,,,"(Periódico, tv o radio,",,
,,,,que,,
YVKE Mundial,,Distrito,Regional (varios,Radio,Estatal,Diaria
,,,estados en,,,
,,,simultáneo,,,
La Ciento Uno - 101.5 FM,,Mérida,No se suministró,Radio,No se,Otra
,,,información,,suministró,
,,,,,información,
Rumba,,Bolívar,Municipal,Radio,Privado,Diaria
,,,,,,
Mucuchíes 91.7 FM,,Mérida,No se suministró,Radio,No se,Otra
,,,información,,suministró,
,,,,,información,
Mambo 94.9FM,,Falcón,Estadal,Radio,Privado,Diaria
Radio Paraiso 100.7 FM,,Mérida,No se suministró,Radio,No se,Otra
,,,información,,suministró,
,,,,,información,
Universitaria 104.5 FM,,Carabobo,Estadal,Radio,No se,Diaria
,,,,,suministró,
,,,,,información,
Zeta,,Guárico,Local,Radio,Privado,Diaria
,,,,,,
FM Mundial Valencia,,Carabobo,Estadal,Radio,Privado,Diaria
,,,,,,
Termometro Nacional,,Apure,Global (web,Nativo Digital,Privado,Diaria
NVH Tv,Sucre,Estadal,TV Cable,Privado,Diaria,"Fuentes Locales, Oficiales,"
,,,,,,"comunidades, sector privado"
NotiAndes24,Mérida,Global (web,Nativo Digital,No se,Otra,Todas las fuentes informativas
,,,(Transmitido,suministró,,
,,,exclusivamente vía,información,,
,,,web,,,
Cuyuní,Bolívar,Municipal,Radio,Privado,Diaria,"Entretenimiento, ciudad"
Tatuy Tv,Mérida,Global (web,Versión Digital,Estatal,Otra,Desconocido
,,,"(Periódico, tv o radio,",,,
,,,que,,,
YVKE Mundial,Distrito,Regional (varios,Radio,Estatal,Diaria,"Nacionales, internacionales,"
,,estados en,,,,"regionales, economía, sucesos,"
,,simultáneo,,,,deportes
La Ciento Uno - 101.5 FM,Mérida,No se suministró,Radio,No se,Otra,"Noticias, deporte, opinión y música"
,,información,,suministró,,
,,,,información,,
Rumba,Bolívar,Municipal,Radio,Privado,Diaria,"Comunidad, farándula, nacionales,"
,,,,,,"política,.laboral"
Mucuchíes 91.7 FM,Mérida,No se suministró,Radio,No se,Otra,Desconocido
,,información,,suministró,,
,,,,información,,
Mambo 94.9FM,Falcón,Estadal,Radio,Privado,Diaria,General
Radio Paraiso 100.7 FM,Mérida,No se suministró,Radio,No se,Otra,Religión
,,información,,suministró,,
,,,,información,,
Universitaria 104.5 FM,Carabobo,Estadal,Radio,No se,Diaria,"El Carabobeño, Notitarde, El"
,,,,suministró,,"Nacional, Carabobo es Noticias,"
,,,,información,,CronicaUno
Zeta,Guárico,Local,Radio,Privado,Diaria,"Entretenimiento, música, gestión de"
,,,,,,gobierno
FM Mundial Valencia,Carabobo,Estadal,Radio,Privado,Diaria,"El Carabobeño. El Nacional,"
,,,,,,Carabobo Es Noticias
Termometro Nacional,Apure,Global (web,Nativo Digital,Privado,Diaria,Informativo
,,,,,,Page
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
,,,"(Transmitido
exclusivamente vía
web",,,
Sónica 88.1 FM,Mérida,"No se suministró
información",Radio,"No se
suministró
información",Otra,Desconocido
Dinámica 95.9 FM,Mérida,"No se suministró
información",Radio,"No se
suministró
información",Otra,Desconocido
Circuito Mega,Mérida,Nacional,Radio,Privado,Otra,Desconocido
Oriente24.com,Sucre,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Oficiales, comunidad, privado,
opositoras, estadales"
Azulita FM,Mérida,"No se suministró
información",Radio,Estatal,Otra,Desconocido
Radio Fe y Alegría 106.7 FM El Nula,Apure,Local,Radio,Privado,Diaria,"Informativa, educativa"
Latina 94.7 FM,Mérida,"No se suministró
información",Radio,Estatal,Otra,Desconocido
"Radio Fe y Alegría Guasdualito 620
AM",Apure,Municipal,Radio,Privado,Diaria,"Informativa, comunitaria, cultural,
educativa"
Corandi 106.3 FM,Mérida,"No se suministró
información",Radio,Estatal,Otra,Desconocido
Llanera 94.1 FM,Apure,Local,Radio,Privado,Diaria,Cultural y recreativa
Circuito Líder,Carabobo,Estadal,Radio,Privado,Diaria,"Medios regionales. El Carabobeño y
Carabobo es Noticia"
Famosa 90.3,Apure,Local,Radio,Privado,Diaria,Cultural y recreativo
Neblina Stereo 105.5 FM,Mérida,"No se suministró
información",Radio,Estatal,Otra,"Servicio de Información,
Entretenimiento y Educación"
Calidad 89.3 FM,Apure,Local,Radio,Privado,Diaria,"Música, recreativa"
,,,"(Transmitido
exclusivamente vía
web",,,
Sónica 88.1 FM,Mérida,"No se suministró
información",Radio,"No se
suministró
información",Otra,Desconocido
Dinámica 95.9 FM,Mérida,"No se suministró
información",Radio,"No se
suministró
información",Otra,Desconocido
Circuito Mega,Mérida,Nacional,Radio,Privado,Otra,Desconocido
Oriente24.com,Sucre,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Oficiales, comunidad, privado,
opositoras, estadales"
Azulita FM,Mérida,"No se suministró
información",Radio,Estatal,Otra,Desconocido
Radio Fe y Alegría 106.7 FM El Nula,Apure,Local,Radio,Privado,Diaria,"Informativa, educativa"
Latina 94.7 FM,Mérida,"No se suministró
información",Radio,Estatal,Otra,Desconocido
"Radio Fe y Alegría Guasdualito 620
AM",Apure,Municipal,Radio,Privado,Diaria,"Informativa, comunitaria, cultural,
educativa"
Corandi 106.3 FM,Mérida,"No se suministró
información",Radio,Estatal,Otra,Desconocido
Llanera 94.1 FM,Apure,Local,Radio,Privado,Diaria,Cultural y recreativa
Circuito Líder,Carabobo,Estadal,Radio,Privado,Diaria,"Medios regionales. El Carabobeño y
Carabobo es Noticia"
Famosa 90.3,Apure,Local,Radio,Privado,Diaria,Cultural y recreativo
Neblina Stereo 105.5 FM,Mérida,"No se suministró
información",Radio,Estatal,Otra,"Servicio de Información,
Entretenimiento y Educación"
Calidad 89.3 FM,Apure,Local,Radio,Privado,Diaria,"Música, recreativa"
Frailejón,Mérida,No se suministró,Radio,Estatal,Otra,"Desconocido
Page"
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
,,información,,,,
Radio Churuguara Stereo,Falcón,Estadal,Radio,Privado,Diaria,General
La Voz,Guárico,Local,Radio,Privado,Diaria,"Educativa, política, cultural"
Río,Guárico,Local,Radio,Estatal,Diaria,"Gestión de gobierno local, regional y
nacional"
Guaribeña,Guárico,Local,Radio,Estatal,Diaria,Gestión de gobierno
Unefm radio,Falcón,Estadal,Radio,Estatal,Ocasional,Información universitaria
Éxitos 103.1,Táchira,Municipal,Radio,Privado,Ocasional,Música
Corianisima,Falcón,Estadal,Radio,Privado,Ocasional,General
Líder 91.1,Táchira,Estadal,Radio,Privado,Diaria,"Información regional, variedades"
La Voz Legislativa,Falcón,Estadal,Radio,Estatal,Ocasional,Política
Tamá Stereo 103.9 FM,Táchira,Estadal,Radio,Privado,Diaria,"Deportes, locales, regionales"
La Fiesta,Falcón,Estadal,Radio,Privado,Ocasional,General
Romance 99.5 FM,Táchira,Estadal,Radio,Privado,Diaria,"Regionales, nacionales, música"
Clásica FM,Falcón,Estadal,Radio,Privado,Diaria,General
Radio Mundial 860 am,Táchira,Estadal,Radio,Privado,Diaria,"Información regional, nacionl y
entretenimiento"
Más Network Coro,Falcón,Estadal,Radio,Privado,Diaria,General
Contacto 93.7 FM,Táchira,Estadal,Radio,Privado,Diaria,"Variedades, cultura, programas"
Radio Coro,Falcón,Estadal,Radio,Privado,Diaria,General
Imageinacion 96.1 FM,Táchira,Estadal,Radio,Privado,Diaria,"Variedades, nacionales"
Radio Manantial,Carabobo,Municipal,Radio,Estatal,Ocasional,No detallaron
"Campeona 96,5",Táchira,Municipal,Radio,"No se
suministró
información",Diaria,información regional
,,información,,,,
Radio Churuguara Stereo,Falcón,Estadal,Radio,Privado,Diaria,General
La Voz,Guárico,Local,Radio,Privado,Diaria,"Educativa, política, cultural"
Río,Guárico,Local,Radio,Estatal,Diaria,"Gestión de gobierno local, regional y
nacional"
Guaribeña,Guárico,Local,Radio,Estatal,Diaria,Gestión de gobierno
Unefm radio,Falcón,Estadal,Radio,Estatal,Ocasional,Información universitaria
Éxitos 103.1,Táchira,Municipal,Radio,Privado,Ocasional,Música
Corianisima,Falcón,Estadal,Radio,Privado,Ocasional,General
Líder 91.1,Táchira,Estadal,Radio,Privado,Diaria,"Información regional, variedades"
La Voz Legislativa,Falcón,Estadal,Radio,Estatal,Ocasional,Política
Tamá Stereo 103.9 FM,Táchira,Estadal,Radio,Privado,Diaria,"Deportes, locales, regionales"
La Fiesta,Falcón,Estadal,Radio,Privado,Ocasional,General
Romance 99.5 FM,Táchira,Estadal,Radio,Privado,Diaria,"Regionales, nacionales, música"
Clásica FM,Falcón,Estadal,Radio,Privado,Diaria,General
Radio Mundial 860 am,Táchira,Estadal,Radio,Privado,Diaria,"Información regional, nacionl y
entretenimiento"
Más Network Coro,Falcón,Estadal,Radio,Privado,Diaria,General
Contacto 93.7 FM,Táchira,Estadal,Radio,Privado,Diaria,"Variedades, cultura, programas"
Radio Coro,Falcón,Estadal,Radio,Privado,Diaria,General
Imageinacion 96.1 FM,Táchira,Estadal,Radio,Privado,Diaria,"Variedades, nacionales"
Radio Manantial,Carabobo,Municipal,Radio,Estatal,Ocasional,No detallaron
"Campeona 96,5",Táchira,Municipal,Radio,"No se
suministró
información",Diaria,información regional
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
,,,,,,"CaraotaDigital, CronicaUNo, El
Nacional, El Estímulo"
Diario de los Andes,Táchira,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"Locales, nacionales"
Playera,Carabobo,Municipal,Radio,Privado,Otra,"No detallaron / indicaron ser emisora
de entretenimiento"
TáchiraNoticias,Táchira,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Regionales, nacionales e
internacionales"
Bonchona,Carabobo,Estadal,Radio,Privado,Diaria,"Revista Ronda, El Nacional, El
Universal, Venevision Plus"
Diario La Nación,Táchira,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"regionales, comunidad, sucesos,
nacionales, deportes,
internacionales"
Show La Costa,Carabobo,Municipal,Radio,Privado,Diaria,"Diario La Calle, El Nacional,
Notitarde, El Carabobeño"
Potencia 97.9 F.M,Cojedes,Local,Radio,Privado,Diaria,Música y entretenimiento
Moda  105.1F.M,Cojedes,Estadal,Radio,Privado,Diaria,Música
Yvke Táchira,Táchira,Nacional,Radio,Estatal,Diaria,"regionales, nacionales"
Azulejo Digital,Sucre,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Locales,regionales, municipales,
oficiales, comunidad, aliados"
Fabulosa 94.3 F.M,Cojedes,Local,Radio,Privado,Diaria,Fuente gubernamental
Atarraya,Sucre,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Locales, comunidad, oficiales,
oposición"
Candela 92.3 F.M,Cojedes,Local,Radio,Privado,Diaria,Entretenimiento
,,,,,,"CaraotaDigital, CronicaUNo, El
Nacional, El Estímulo"
Diario de los Andes,Táchira,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"Locales, nacionales"
Playera,Carabobo,Municipal,Radio,Privado,Otra,"No detallaron / indicaron ser emisora
de entretenimiento"
TáchiraNoticias,Táchira,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Regionales, nacionales e
internacionales"
Bonchona,Carabobo,Estadal,Radio,Privado,Diaria,"Revista Ronda, El Nacional, El
Universal, Venevision Plus"
Diario La Nación,Táchira,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"regionales, comunidad, sucesos,
nacionales, deportes,
internacionales"
Show La Costa,Carabobo,Municipal,Radio,Privado,Diaria,"Diario La Calle, El Nacional,
Notitarde, El Carabobeño"
Potencia 97.9 F.M,Cojedes,Local,Radio,Privado,Diaria,Música y entretenimiento
Moda  105.1F.M,Cojedes,Estadal,Radio,Privado,Diaria,Música
Yvke Táchira,Táchira,Nacional,Radio,Estatal,Diaria,"regionales, nacionales"
Azulejo Digital,Sucre,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Locales,regionales, municipales,
oficiales, comunidad, aliados"
Fabulosa 94.3 F.M,Cojedes,Local,Radio,Privado,Diaria,Fuente gubernamental
Atarraya,Sucre,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Locales, comunidad, oficiales,
oposición"
Candela 92.3 F.M,Cojedes,Local,Radio,Privado,Diaria,Entretenimiento
Circuito X 94.7 FM,Miranda,Municipal,Radio,Privado,Diaria,"Entretenimiento
Page"
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
Futuro 92.9 FM,Apure,Local,Radio,Privado,Diaria,"Música, recreación, oficiales"
La Calle 91.1 FM,Falcón,Local,Radio,Privado,Diaria,General
Líder 100.9 FM,Monagas,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
Rumbera 96.9 FM,Falcón,Estadal,Radio,Privado,Diaria,General
C-Oye FM,Lara,"Regional (varios
estados en
simultáneo",Radio,Privado,Otra,No se suministró información
La Cima 96.7 FM,Miranda,Municipal,Radio,Privado,Diaria,Entretenimiento
La Gran FM Maturín,Monagas,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
Falcón Informativa,Falcón,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,General
Radio Sant,Lara,Local,Radio,Privado,Otra,Todas las fuentes informativas
Capatarida 98.1 FM,Falcón,Estadal,Radio,Estatal,Diaria,General
ONDA 105.1 FM,"Nueva
Esparta",Estadal,Radio,Privado,Diaria,Entretenimiento
Besser 97.5FM,Falcón,Estadal,Radio,Privado,Diaria,General
Rumberísima 91.9 FM,Mérida,"Estadal/Global
(web",Tradicional/Digital,Privado,Diaria,Todas las fuentes informativas
Norte Stereo 101.7 FM,Táchira,Municipal,Radio,Estatal,Semanal,Emisora comunitaria
Acción 104.5 FM,Mérida,"Municipal/Global
(web",Tradicional/Digital,Privado,Diaria,Todas las fuentes informativas
La Mega 102.1,Táchira,Estadal,Radio,Privado,Ocasional,"Regionales, variedades"
Máxima 103.9 FM,Mérida,"Nacional/Global
(web",Tradicional/Digital,Privado,Ocasional,Entretenimiento
Futuro 92.9 FM,Apure,Local,Radio,Privado,Diaria,"Música, recreación, oficiales"
La Calle 91.1 FM,Falcón,Local,Radio,Privado,Diaria,General
Líder 100.9 FM,Monagas,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
Rumbera 96.9 FM,Falcón,Estadal,Radio,Privado,Diaria,General
C-Oye FM,Lara,"Regional (varios
estados en
simultáneo",Radio,Privado,Otra,No se suministró información
La Cima 96.7 FM,Miranda,Municipal,Radio,Privado,Diaria,Entretenimiento
La Gran FM Maturín,Monagas,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
Falcón Informativa,Falcón,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,General
Radio Sant,Lara,Local,Radio,Privado,Otra,Todas las fuentes informativas
Capatarida 98.1 FM,Falcón,Estadal,Radio,Estatal,Diaria,General
ONDA 105.1 FM,"Nueva
Esparta",Estadal,Radio,Privado,Diaria,Entretenimiento
Besser 97.5FM,Falcón,Estadal,Radio,Privado,Diaria,General
Rumberísima 91.9 FM,Mérida,"Estadal/Global
(web",Tradicional/Digital,Privado,Diaria,Todas las fuentes informativas
Norte Stereo 101.7 FM,Táchira,Municipal,Radio,Estatal,Semanal,Emisora comunitaria
Acción 104.5 FM,Mérida,"Municipal/Global
(web",Tradicional/Digital,Privado,Diaria,Todas las fuentes informativas
La Mega 102.1,Táchira,Estadal,Radio,Privado,Ocasional,"Regionales, variedades"
Máxima 103.9 FM,Mérida,"Nacional/Global
(web",Tradicional/Digital,Privado,Ocasional,Entretenimiento
Ecos del Torbes,Táchira,Estadal,Radio,Privado,Diaria,"Iformacion nacional, regonal, local,
comunidades"
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
UPTM Kléber Ramirez 90.1 FM,Mérida,Municipal,Radio,Estatal,Diaria,"Contenido institucional, programas
sociales y de entretenimiento"
Buenísima 98.5 FM,Táchira,Estadal,Radio,Privado,Semanal,"Música, variedades"
Éxitos,Guárico,Local,Radio,Privado,Diaria,"Comunidad, política, cultura,
educación, salud, deportes,
entretenimiento"
Andes FM,Táchira,Estadal,Radio,Privado,Diaria,"Locales, regionales"
Circuito Nacional Oye FM,Monagas,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Entretenimiento, cultura e
información regional"
Canal 21,Táchira,Municipal,TV (Señal analógica,Privado,Ocasional,"comunidad, ragionales"
Siembra TV,Guárico,Local,TV Cable,Privado,Diaria,"Comunidad, sucesos, política,
variedades"
Televisora Regional del Táchira,Táchira,"Regional (varios
estados en
simultáneo",TV (Señal analógica,Privado,Diaria,"regionales, frontera, nacionales"
Maravillosa,Guárico,Municipal,Radio,Privado,Diaria,"Educación, Cultura, gestión de
gobierno, folclore, salud"
Radio Estrella,Aragua,Municipal,Radio,Privado,Diaria,"Información de la gestión del
gobierno nacional, regional y local"
Radio Fe y Alegría,Guárico,Local,Radio,Privado,Diaria,"Comunidad, política, deportes,
cultura"
Espectacular,Aragua,Municipal,Radio,Privado,Ocasional,"Eventos y acontecimientos que
ocurren en el municipio Mariño y
localidades"
Roscio TV,Guárico,Local,TV Cable,Privado,Diaria,"Política, sucesos, comunidad, salud,
entretenimiento"
Cantar Revolucionario,Aragua,Local,Radio,Estatal,Ocasional,"Solo transmite información de la
alcaldía y cadenas de radio y tv del"
UPTM Kléber Ramirez 90.1 FM,Mérida,Municipal,Radio,Estatal,Diaria,"Contenido institucional, programas
sociales y de entretenimiento"
Buenísima 98.5 FM,Táchira,Estadal,Radio,Privado,Semanal,"Música, variedades"
Éxitos,Guárico,Local,Radio,Privado,Diaria,"Comunidad, política, cultura,
educación, salud, deportes,
entretenimiento"
Andes FM,Táchira,Estadal,Radio,Privado,Diaria,"Locales, regionales"
Circuito Nacional Oye FM,Monagas,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Entretenimiento, cultura e
información regional"
Canal 21,Táchira,Municipal,TV (Señal analógica,Privado,Ocasional,"comunidad, ragionales"
Siembra TV,Guárico,Local,TV Cable,Privado,Diaria,"Comunidad, sucesos, política,
variedades"
Televisora Regional del Táchira,Táchira,"Regional (varios
estados en
simultáneo",TV (Señal analógica,Privado,Diaria,"regionales, frontera, nacionales"
Maravillosa,Guárico,Municipal,Radio,Privado,Diaria,"Educación, Cultura, gestión de
gobierno, folclore, salud"
Radio Estrella,Aragua,Municipal,Radio,Privado,Diaria,"Información de la gestión del
gobierno nacional, regional y local"
Radio Fe y Alegría,Guárico,Local,Radio,Privado,Diaria,"Comunidad, política, deportes,
cultura"
Espectacular,Aragua,Municipal,Radio,Privado,Ocasional,"Eventos y acontecimientos que
ocurren en el municipio Mariño y
localidades"
Roscio TV,Guárico,Local,TV Cable,Privado,Diaria,"Política, sucesos, comunidad, salud,
entretenimiento"
Cantar Revolucionario,Aragua,Local,Radio,Estatal,Ocasional,"Solo transmite información de la
alcaldía y cadenas de radio y tv del"
El Tubazo Digital,Guárico,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía",Privado,Diaria,"Política, economía, sucesos,
deportes, comunidad, cultura,
educación
Page"
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
,,,web,,,
La Voz de Pueblo Llano 96.1 FM,Mérida,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
Divina 107.3 FM,"Nueva
Esparta",Estadal,Radio,Privado,Diaria,Entretenimiento
Radio Show,Aragua,Municipal,Radio,Privado,Diaria,"Denuncias por fallas de servicios
públicos y acontecer nacional"
Stereo Center,Guárico,Municipal,Radio,Privado,Diaria,"Comunidad, cultura, deportes,
educación, economía, política, salud"
Melodía Stereo,Lara,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Todas las fuentes informativas
Super Stereo,"Nueva
Esparta","Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Entretenimiento
Infinito,Aragua,Municipal,Radio,Privado,Diaria,"Noticias de la gestión del gobierno
nacional, regional y la alcaldía de"
Señal,Guárico,Municipal,Radio,Privado,Diaria,"Comunidad, salud, sucesos,
deportes, política, educación, cultura"
Radio Cardenal,Lara,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
"Fundación Televisora Comunitaria de
Calabozo",Guárico,Local,TV (Señal analógica,Privado,Diaria,"Política, comunidad, economía,
comunidad, salud"
Hello Radio,Lara,Local,Radio,Privado,Diaria,Música
Noticias Calabozo,Guárico,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Política, comunidad, economía,
sucesos, internacionales, cultura,
deportes"
Fundación Laguna 90.3 FM,Mérida,Municipal,Radio,Estatal,Diaria,Todas las fuentes informativas
Sol de Margarita,"Nueva
Esparta",Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"Política, Economía, Salud, Deportes,
Sucesos y Entretenimiento"
,,,web,,,
La Voz de Pueblo Llano 96.1 FM,Mérida,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
Divina 107.3 FM,"Nueva
Esparta",Estadal,Radio,Privado,Diaria,Entretenimiento
Radio Show,Aragua,Municipal,Radio,Privado,Diaria,"Denuncias por fallas de servicios
públicos y acontecer nacional"
Stereo Center,Guárico,Municipal,Radio,Privado,Diaria,"Comunidad, cultura, deportes,
educación, economía, política, salud"
Melodía Stereo,Lara,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Todas las fuentes informativas
Super Stereo,"Nueva
Esparta","Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Entretenimiento
Infinito,Aragua,Municipal,Radio,Privado,Diaria,"Noticias de la gestión del gobierno
nacional, regional y la alcaldía de"
Señal,Guárico,Municipal,Radio,Privado,Diaria,"Comunidad, salud, sucesos,
deportes, política, educación, cultura"
Radio Cardenal,Lara,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
"Fundación Televisora Comunitaria de
Calabozo",Guárico,Local,TV (Señal analógica,Privado,Diaria,"Política, comunidad, economía,
comunidad, salud"
Hello Radio,Lara,Local,Radio,Privado,Diaria,Música
Noticias Calabozo,Guárico,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Política, comunidad, economía,
sucesos, internacionales, cultura,
deportes"
Fundación Laguna 90.3 FM,Mérida,Municipal,Radio,Estatal,Diaria,Todas las fuentes informativas
Sol de Margarita,"Nueva
Esparta",Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"Política, Economía, Salud, Deportes,
Sucesos y Entretenimiento"
,Medio Estado,,Alcance,Tipo,Naturaleza,Periodicidad
,,,estados en,,,
,,,simultáneo,,,
þÿ I s l a  T v,T e l e v i s i ó n  d e l  CNauerviab e,,Regional (varios,TV (Señal analógica,Privado,Diaria
,Esparta,,estados en,,,
,,,simultáneo,,,
Radio C 107.3MHz,Mérida,,Municipal,Radio,Privado,Otra
La Mega,Zulia,,Estadal,Radio,Privado,Diaria
Radio Siembra 89.1 FM La voz del,Mérida,,Municipal,Radio,Estatal,Diaria
pueblo,,,,,,
Notipascua,Guárico,,Global (web,Nativo Digital,Privado,Diaria
,,,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
Urdaneta Estéreo,Lara,,Global (web,Nativo Digital,Privado,Otra
,,,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
La Jornada del Guárico,Guárico,,Global (web,Versión Digital,Privado,Diaria
,,,,"(Periódico, tv o radio,",,
,,,,que,,
NoEsFm,Lara,,Global (web,Nativo Digital,Privado,Otra
,,,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
Ciudad Guárico,Guárico,,Global (web,Versión Digital,Estatal,Diaria
,,,,"(Periódico, tv o radio,",,
,,,,que,,
Fama 98.11 FM,Lara,,Regional (varios,Radio,Privado,Diaria
,,,estados en,,,
,,,simultáneo,,,
Cantaguárico,Guárico,,Regional (varios,Radio,Estatal,Diaria
,,estados en,,,,
,,simultáneo,,,,
þÿ I s l a  T vT e l e v i s i ó n  d e l  CNauerviab e,,Regional (varios,TV (Señal analógica,Privado,Diaria,"Política, Economía, Salud, Deportes"
,Esparta,estados en,,,,y Entretenimiento
,,simultáneo,,,,
Radio C 107.3MHz,Mérida,Municipal,Radio,Privado,Otra,"Comunidad, Cultura y Espectáculo"
La Mega,Zulia,Estadal,Radio,Privado,Diaria,Centro de Noticias Unión Radio
Radio Siembra 89.1 FM La voz del,Mérida,Municipal,Radio,Estatal,Diaria,Todas las fuentes informativas
pueblo,,,,,,
Notipascua,Guárico,Global (web,Nativo Digital,Privado,Diaria,"Comunidad, política, economía,"
,,,(Transmitido,,,"salud, sucesos, deportes,"
,,,exclusivamente vía,,,"educación, cultura"
,,,web,,,
Urdaneta Estéreo,Lara,Global (web,Nativo Digital,Privado,Otra,Música
,,,(Transmitido,,,
,,,exclusivamente vía,,,
,,,web,,,
La Jornada del Guárico,Guárico,Global (web,Versión Digital,Privado,Diaria,"Política, economía, cultura,"
,,,"(Periódico, tv o radio,",,,"educación, gestión de gobierno"
,,,que,,,
NoEsFm,Lara,Global (web,Nativo Digital,Privado,Otra,Música
,,,(Transmitido,,,
,,,exclusivamente vía,,,
,,,web,,,
